PSA_NUM,american_indian,asian,unknown,white_latino,white_nonlatino,black_latino,black_nonlatino,total
011,85,5388,2560,338,13930,128,7520,29949
012,15,597,419,100,6734,7,584,8456
021,251,6282,12185,1266,5610,586,14314,40494
022,117,3358,7657,718,4941,433,12381,29605
023,165,7653,9060,960,17961,320,7092,43211
031,48,1886,2296,284,14118,73,2362,21067
032,100,3384,2791,365,14342,64,1488,22534
033,379,10342,8512,802,25422,114,2146,47717
051,25,625,1332,250,12405,47,1250,15934
052,24,472,1030,189,10059,33,846,12653
053,26,736,1208,163,10295,83,2400,14911
061,63,1896,1566,188,6936,91,3845,14585
062,21,3147,739,316,5887,64,1240,11414
063,37,2241,1720,393,15478,52,1493,21414
071,46,3128,3602,420,15637,100,2576,25509
072,72,6717,3177,468,21727,78,3012,35251
073,64,6697,3202,359,23172,71,1862,35427
077,0,0,0,0,0,0,0,0
081,79,2504,4616,714,17747,231,6877,32768
082,94,1884,3866,646,26002,162,4241,36895
083,66,1592,2927,596,21345,102,2512,29140
091,25,2466,1876,352,17481,22,828,23050
092,28,3435,1740,321,13467,37,1666,20694
093,56,1232,2146,318,15257,60,2536,21605
121,42,1085,783,43,1341,102,12089,15485
122,31,1199,1125,44,544,133,14040,17116
123,57,1456,1520,100,1029,177,17763,22102
124,52,224,998,29,1437,121,13962,16823
141,137,217,2094,53,1113,428,39321,43363
142,68,160,1485,83,1340,241,17594,20971
143,37,559,1905,151,8034,138,9261,20085
144,71,574,2002,169,10189,182,15253,28440
151,266,955,10475,1340,11554,783,13505,38878
152,281,2478,14223,1916,12219,912,13870,45899
153,187,6663,12307,1700,23540,693,8759,53849
161,36,2869,1461,208,7354,125,7894,19947
162,78,870,1387,110,1588,231,16733,20997
171,30,1709,1934,278,13353,60,3256,20620
172,69,1048,1127,102,2638,113,6397,11494
173,87,1604,1854,252,6260,87,7294,17438
181,77,317,1169,33,620,214,17410,19840
182,105,614,1565,105,3245,238,16634,22506
183,87,9012,4060,719,16865,199,7189,38131
191,63,445,1555,91,3334,247,23845,29580
192,86,259,1620,54,461,309,27670,30459
193,63,1375,1625,145,4143,240,18840,26431
221,98,938,1765,244,5377,305,14342,23069
222,59,100,1074,61,324,271,17358,19247
223,47,2595,2017,309,7089,232,9505,21794
224,31,349,1047,99,3231,126,7510,12393
241,283,1878,15513,2241,4002,975,5761,30653
242,203,434,10121,1491,2691,634,3707,19281
243,49,371,2363,499,13828,117,900,18127
251,96,317,7613,894,317,560,5896,15693
252,213,989,10797,1324,1182,600,4224,19329
253,197,251,11880,1682,756,616,2222,17604
254,145,204,6557,877,293,424,6184,14684
261,121,350,5360,847,974,418,4555,12625
262,103,1258,3727,575,9755,229,3473,19120
263,64,1912,3475,636,18673,119,1187,26066
351,178,4467,4866,481,1941,472,25331,37736
352,176,2798,7420,651,1051,571,21395,34062
353,100,555,1624,197,1237,307,24081,28101
391,65,1074,2326,275,9393,309,15111,28553
392,44,178,1049,95,295,194,12681,14536
393,44,113,907,79,265,217,14762,16387
