PSA_NUM,american_indian,asian,unknown,white_latino,white_nonlatino,black_latino,black_nonlatino,total
011,80.0,4907.0,2462.0,327.0,13243.0,126.0,7674.0,28819.0
012,15.0,593.0,416.0,99.0,6497.0,7.0,576.0,8202.0
021,233.0,5975.0,11890.0,1235.0,5516.0,582.0,14522.0,39954.0
022,126.0,3417.0,7678.0,745.0,5133.0,442.0,12299.0,29841.0
023,172.0,8123.0,9660.0,999.0,18947.0,323.0,7056.0,45280.0
031,40.0,1779.0,2193.0,284.0,14515.0,71.0,2050.0,20931.0
032,140.0,4663.0,3620.0,402.0,14928.0,77.0,2068.0,25898.0
033,349.0,9279.0,7888.0,785.0,25838.0,104.0,1930.0,46173.0
051,26.0,607.0,1305.0,250.0,12105.0,48.0,1201.0,15543.0
052,27.0,567.0,1179.0,199.0,11267.0,43.0,1127.0,14410.0
053,22.0,655.0,1078.0,152.0,9320.0,71.0,2159.0,13457.0
061,60.0,1799.0,1479.0,174.0,6260.0,87.0,3793.0,13652.0
062,24.0,3176.0,808.0,317.0,6478.0,61.0,1215.0,12079.0
063,35.0,2208.0,1633.0,386.0,14583.0,57.0,1525.0,20427.0
071,49.0,3094.0,3370.0,388.0,15058.0,96.0,2505.0,24560.0
072,71.0,6525.0,3101.0,458.0,21091.0,75.0,2908.0,34229.0
073,64.0,6700.0,3216.0,364.0,23335.0,73.0,1905.0,35656.0
077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
081,79.0,2518.0,4614.0,736.0,17471.0,230.0,6748.0,32396.0
082,95.0,1880.0,3887.0,644.0,25994.0,162.0,4280.0,36942.0
083,65.0,1598.0,2933.0,597.0,21515.0,102.0,2469.0,29279.0
091,26.0,2486.0,1892.0,348.0,17529.0,23.0,807.0,23109.0
092,27.0,3242.0,1628.0,306.0,12793.0,36.0,1486.0,19517.0
093,56.0,1369.0,2229.0,327.0,15746.0,60.0,2684.0,22472.0
121,42.0,1120.0,810.0,47.0,1348.0,100.0,12322.0,15789.0
122,24.0,1118.0,932.0,43.0,445.0,102.0,10828.0,13493.0
123,61.0,1480.0,1555.0,94.0,1087.0,193.0,18763.0,23233.0
124,56.0,257.0,1158.0,36.0,1593.0,141.0,15976.0,19216.0
141,135.0,211.0,2086.0,50.0,1063.0,428.0,39201.0,43173.0
142,71.0,168.0,1501.0,86.0,1392.0,244.0,17875.0,21338.0
143,36.0,482.0,1843.0,142.0,7942.0,134.0,9012.0,19590.0
144,71.0,562.0,1976.0,166.0,9970.0,182.0,15212.0,28139.0
151,273.0,971.0,10827.0,1378.0,11250.0,816.0,14079.0,39593.0
152,285.0,2454.0,14308.0,1954.0,13236.0,920.0,13813.0,46969.0
153,174.0,6547.0,11665.0,1585.0,22425.0,643.0,8202.0,51240.0
161,39.0,2953.0,1534.0,215.0,7482.0,135.0,8508.0,20867.0
162,75.0,828.0,1381.0,108.0,1547.0,221.0,16795.0,20954.0
171,39.0,1764.0,2062.0,306.0,13912.0,70.0,4111.0,22264.0
172,61.0,879.0,994.0,87.0,2334.0,101.0,5667.0,10123.0
173,89.0,2135.0,1907.0,250.0,6226.0,89.0,7025.0,17722.0
181,86.0,331.0,1165.0,33.0,622.0,216.0,17929.0,20381.0
182,97.0,580.0,1498.0,96.0,2841.0,235.0,15930.0,21276.0
183,86.0,9015.0,4097.0,723.0,17170.0,197.0,7226.0,38514.0
191,69.0,541.0,1644.0,98.0,3680.0,247.0,24373.0,30652.0
192,84.0,249.0,1550.0,51.0,426.0,310.0,26774.0,29444.0
193,59.0,1236.0,1527.0,134.0,3715.0,238.0,18407.0,25317.0
221,99.0,930.0,1843.0,254.0,5329.0,323.0,15026.0,23803.0
222,60.0,100.0,1064.0,60.0,321.0,265.0,17057.0,18927.0
223,44.0,2599.0,2019.0,309.0,7123.0,223.0,9253.0,21569.0
224,34.0,360.0,1077.0,102.0,3251.0,137.0,7817.0,12778.0
241,273.0,1820.0,14920.0,2142.0,3919.0,922.0,5400.0,29396.0
242,186.0,411.0,9151.0,1354.0,2615.0,583.0,3534.0,17835.0
243,63.0,384.0,2731.0,550.0,13885.0,150.0,1147.0,18909.0
251,98.0,313.0,7606.0,894.0,282.0,546.0,4942.0,14680.0
252,189.0,950.0,9792.0,1198.0,1061.0,549.0,3855.0,17594.0
253,220.0,329.0,13542.0,1921.0,945.0,712.0,2690.0,20359.0
254,147.0,207.0,6632.0,887.0,309.0,431.0,6633.0,15245.0
261,119.0,331.0,5275.0,849.0,867.0,383.0,3586.0,11410.0
262,102.0,1239.0,3668.0,559.0,8919.0,252.0,3933.0,18671.0
263,63.0,1910.0,3489.0,634.0,19497.0,115.0,1166.0,26874.0
351,167.0,4273.0,4753.0,464.0,1915.0,464.0,25316.0,37352.0
352,191.0,3044.0,7734.0,693.0,1088.0,599.0,22030.0,35378.0
353,98.0,506.0,1587.0,194.0,1227.0,299.0,23481.0,27391.0
391,69.0,1162.0,2440.0,289.0,9693.0,320.0,15695.0,29668.0
392,56.0,199.0,1247.0,128.0,360.0,217.0,14378.0,16584.0
393,32.0,92.0,769.0,61.0,210.0,192.0,13039.0,14394.0
